id,hello,intro1,qskip1,rwdirusa,rwdiril,rwdirlocal,qlife,qskip2,cf_prohib_co,recall,cf_lim_leader,ch_lim_inkind,cf_lim_fedmatch,cf_comment,term_leader,cf_public,qskip3,redist_hat,redist_neutral,redist_comment,referend,qskip4,app_pres_oba,app_gov_quin,app_ilag_mad,app_Ilsminl_rad,app_iltres_gian,app_ilhminl_cro,app_ilspres_cul,app_ilhspk_mad,app_sen_durb,app_sen_bur,app_ilcomp_hyn,tax_fed_val,tax_il_val,tax_local_val,tax_fairshr,qskip5,qual_air,qual_infra,qual_cops,qual_K12,econ_local,qual_parks,budgq_grp1,budgq_grp2,budgq_grp3,deficit_grp1,deficit_grp2,deficit_comment,deficit_grp3,qskip6,cuts_K12,cuts_he,cuts_he_comments,cuts_cops,cuts_parks,cuts_poor,cuts_dis,cuts_disable_comment,pen_cuts,qskip7,tax_inc_temp,tax_sales,tax_services,gamble_exp,sell_il_asset,sell_il_asset_comment,prim10_vote,prim10_party,primgov_grp1,primgov_grp2,qskip8,primgov_grp3,primgov_grp4,primgov_grp5,primgov_grp6,primgov_grp7,primgov_grp8,qskip9,abort_leg,lgcoup.grp1,lg_coup_rts_comments,lgcoup.grp2,lgcoup.grp3,qskip10,hc_fed_resp,hc_fed_resp_comment,gender,education,party_aff1,party_str,party_indystr,hc_haveins,hc_pub,hc_empr,hc_indy,hc_other,hc_dknr,hc_cobra,hc_union,hc_supins,relig_att_often,relig_type,religion,relig_denom,relig_epis,relig_bapt,relig_bret,relig_coc,relig_cog,relig_luth,relig_meth,relig_pres,relig_crc,relig_mean,relig_what,born_again,born_again_comment,zip,birth_yr,rac_eth1,hhinc1,thank,gender2,thank2,date,time,area,age,add_comments,fix_deficit_il,prim10_gov_dem,prim10_gov_rep,lg_rights,party_aff2,party_aff3,party_strength,party_aff11,party_indy,Generation,hhinc,party_aff,rac_eth
22,1,1,1,1,1,1,3,1,4,2,4,4,5, ,1,4,1,5,3, ,3,1,1,4,4,4,2,4,4,4,1,2,1,3,2,5,3,1,5,3,2,5,5,5, ,1, , ,2, , ,1,3,3, ,1,3,2,2, ,2,1,2,1,1,2,3, ,1,2, , ,1, , , ,2, , ,1,3, , , ,1,1,4, ,1,2,1,1, ,1,1,1,0,0,0,0,0,0,3,2, , , , , , , , , , , , ,2,3, ,99998,85,2,5,0,2, ,20090923,134756,3,0, ,2, ,2,1,1,1,1,1,1,4,2,1,2
23,1,1,1,2,2,1,4,1,4,2,2,3,2, ,1,2,1,4,2, ,2,1,4,2,2,2,2,2,9,2,3,4,2,5,3,3,3,1,3,2,3,4,5,1, ,1, , ,2, , ,1,2,2, ,2,1,1,2, ,2,1,2,2,2,2,2, ,1,2, , ,1, , ,2, , , ,1,2, , , ,3,1,4, ,2,4,1,1, ,1,1,1,0,0,0,0,0,0,2,1, ,1,2, , , , , , , , , , ,2, ,62301,36,5,3,0,1, ,20090923,135443,3,73, ,2, ,2,3,1,1,1,1,1,1,1,1,3
24,1,1,1,2,1,2,2,1,1,1,1,2,1, ,1,1,1,3,2, ,2,1,2,2,3,9,2,2,2,2,3,4,2,3,3,4,3,1,2,2,2,1,3,9,1, , ,3, , , ,1,2,2, ,1,2,1,1, ,2,1,2,1,1,1,2, ,2, , , , , , , , , , ,1,2, , , ,1,1,1, ,2,6,3, ,5,1,1,0,0,0,0,0,0,0,5, ,1,22, , , , , , , , , ,2, ,2, ,62226,44,1,4,0,1, ,20090923,140729,3,66, ,3, , ,1,2,1,3,3,5,1,2,3,1
25,1,1,1,2,2,1,2,1,2,1,2,2,2, ,2,2,1,3,2, ,3,1,2,1,1,9,9,9,9,1,2,3,2,2,2,1,3,1,2,2,2,2,4,1, ,1, , ,2, , ,1,2,2, ,2,2,3,2, ,2,1,2,2,1,2,1, ,1,2, , ,1, , , ,9, , ,1,1,1, , , ,1,2, ,2,5,1,3, ,1,1,0,0,0,0,0,0,0,4, ,1,21, , , , , , , , , , , ,2, ,61107,29,1,2,0,1, ,20090923,141554,3,80, ,2, ,9,1,2,1,2,2,2,1,1,1,1
26,1,1,1,1,1,1,2,1,3,2,3,2,3, ,2,5,1,3,3, ,3,1,4,9,9,9,9,9,9,9,9,9,9,2,2,2,2,1,2,2,2,2,2,2, , ,1, , , ,4,1,2,2, ,2,1,2,2, ,2,1,2,2,2,1,1, ,1,2, , ,1, , , , ,7, ,1,2, , , ,3,1,9, ,1,1,1,3, ,1,1,0,0,0,0,0,0,0,1,1, ,3, ,98, , , , , , , , , ,2, ,62545,32,1,2,0,2, ,20090923,141633,3,74, ,4, ,7,3,2,1,2,2,2,1,1,1,1
27,1,1,1,1,2,1,3,1,1,1,1,1,5, ,1,2,1,3,2, ,2,1,2,2,3,9,9,9,9,3,2,2,2,4,4,3,3,1,3,4,3,2,3,4, ,1, , ,2, , ,1,2,2, ,2,2,1,2, ,1,1,2,2,2,1,2, ,1,9, , , , , , , , , ,1,2, , , ,1,1,2, ,2,6,2,4, ,1,0,1,1,0,0,0,0,0,4, ,1,5, , , , , , , , , , , ,3, ,60482,57,1,3,0,1, ,20090923,141917,2,52, ,2, , ,1,4,3,4,6,10,2,1,2,1
29,1,1,1,1,2,1,4,1,3,2,3,2,1, ,3,2,1,2,3, ,1,1,3,2,9,3,9,9,9,2,4,3,2,2,3,2,2,1,1,2,1,2,5,1, , ,1, , , ,2,1,2,1, ,2,2,1,1, ,2,1,2,2,1,1,1, ,1,4, , , , , , , , , ,1,2, , ,2, ,1,4, ,2,5,8, ,5,1,0,0,1,0,0,0,0,0,3,1, ,16, , , , , , , , , , , ,1, ,61462,87,1,5,0,1, ,20090923,142013,3,55, ,2, , ,2,2,1,6,88,88,4,2,9,1
31,1,1,1,2,2,1,2,1,3,2,3,2,2, ,5,2,1,3,2, ,2,1,3,2,4,9,2,9,2,3,4,3,3,3,4,2,1,1,1,2,1,2,2,1,1, , ,3, , , ,1,2,1, ,3,3,2,2, ,2,1,1,2,1,1,2, ,1,2, , ,1, , , ,11, , ,1,3,2, , , ,1,3, ,2,6,3, ,5,1,0,1,0,0,0,0,0,0,1,1, ,5, , , , , , , , , , , ,3, ,60201,47,2,6,0,1, ,20090923,143234,2,33, ,3, ,11,2,2,1,3,3,5,2,3,3,2
32,1,1,1,2,2,1,3,1,2,2,2,2,2, ,2,2,1,3,2, ,2,1,3,2,1,1,3,2,2,2,2,4,2,4,4,3,3,1,2,4,2,2,4,2,1, , ,3, , , ,1,2,2, ,2,1,2,2, ,1,1,1,1,1,2,2, ,1,4, , , , , , , , , ,1,2, , , ,2,1,2, ,2,6,3, ,8,1,1,0,1,0,0,0,0,0,2,1, ,3, ,3, , , , , , , , , ,3, ,62901,30,1,4,0,1, ,20090923,143301,3,79, ,3, , ,2,6,8,3,8,12,1,2,3,1
34,1,1,1,2,2,2,2,1,1,1,1,1,1, ,1,4,1,4,4, ,2,1,2,2,2,2,3,2,4,3,4,4,2,3,3,4,3,1,3,5,3,5,4,3, ,1, , ,2, , ,1,2,2, ,1,2,2,2, ,2,1,1,2,2,2,2, ,1,4, , , , , , , , , ,1,3, , ,2, ,1,4, ,1,4,1,3, ,1,1,0,0,0,0,0,0,0,2,1, ,5, , , , , , , , , , , ,3, ,60625,32,1,4,0,2, ,20090923,144115,1,77, ,2, , ,2,2,1,2,2,2,1,2,1,1
